gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	rights	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue
1058526946	02242d2f-b43f-44d1-8e53-4c51af461f5b	urn:catalog:OS:Herps:SJA 53645	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	Ambystoma opacum		SPECIES	Ambystoma opacum (Gravenhorst, 1807)	US		ac5e8480-3714-11da-bc2e-b8a03c50a862	33.25039	-81.74562					1994-10-31T00:00Z	31	10	1994	2432006	2432006	PRESERVED_SPECIMEN	OS	Herps	SJA 53645			http://creativecommons.org/publicdomain/zero/1.0/				NATIVE	2015-03-13T22:38Z		COORDINATE_ROUNDED
1058527001	02242d2f-b43f-44d1-8e53-4c51af461f5b	urn:catalog:OS:Herps:SJA 53681	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	Ambystoma opacum		SPECIES	Ambystoma opacum (Gravenhorst, 1807)	US		ac5e8480-3714-11da-bc2e-b8a03c50a862	33.25039	-81.74562									2432006	2432006	PRESERVED_SPECIMEN	OS	Herps	SJA 53681			http://creativecommons.org/publicdomain/zero/1.0/				NATIVE	2015-03-13T22:38Z		COORDINATE_ROUNDED
1058527013	02242d2f-b43f-44d1-8e53-4c51af461f5b	urn:catalog:OS:Herps:SJA 53637	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	Ambystoma opacum		SPECIES	Ambystoma opacum (Gravenhorst, 1807)	US		ac5e8480-3714-11da-bc2e-b8a03c50a862	33.25039	-81.74562					1994-10-31T00:00Z	31	10	1994	2432006	2432006	PRESERVED_SPECIMEN	OS	Herps	SJA 53637			http://creativecommons.org/publicdomain/zero/1.0/				NATIVE	2015-03-13T22:38Z		COORDINATE_ROUNDED
1058527078	02242d2f-b43f-44d1-8e53-4c51af461f5b	urn:catalog:OS:Herps:SJA 53751	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	Ambystoma opacum		SPECIES	Ambystoma opacum (Gravenhorst, 1807)	US		ac5e8480-3714-11da-bc2e-b8a03c50a862	33.31563	-81.77369					1995-11-22T00:00Z	22	11	1995	2432006	2432006	PRESERVED_SPECIMEN	OS	Herps	SJA 53751			http://creativecommons.org/publicdomain/zero/1.0/		L. Houck		NATIVE	2015-03-13T22:38Z		COORDINATE_ROUNDED
1058527257	02242d2f-b43f-44d1-8e53-4c51af461f5b	urn:catalog:OS:Herps:SJA 53710	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	Ambystoma opacum		SPECIES	Ambystoma opacum (Gravenhorst, 1807)	US		ac5e8480-3714-11da-bc2e-b8a03c50a862	33.25039	-81.74562									2432006	2432006	PRESERVED_SPECIMEN	OS	Herps	SJA 53710			http://creativecommons.org/publicdomain/zero/1.0/				NATIVE	2015-03-13T22:38Z		COORDINATE_ROUNDED
1058527333	02242d2f-b43f-44d1-8e53-4c51af461f5b	urn:catalog:OS:Herps:SJA 53914	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	Ambystoma opacum		SPECIES	Ambystoma opacum (Gravenhorst, 1807)	US		ac5e8480-3714-11da-bc2e-b8a03c50a862	33.31563	-81.77369									2432006	2432006	PRESERVED_SPECIMEN	OS	Herps	SJA 53914			http://creativecommons.org/publicdomain/zero/1.0/				NATIVE	2015-03-13T22:38Z		COORDINATE_ROUNDED
1058527377	02242d2f-b43f-44d1-8e53-4c51af461f5b	urn:catalog:OS:Herps:SJA 53955	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	Ambystoma opacum		SPECIES	Ambystoma opacum (Gravenhorst, 1807)	US		ac5e8480-3714-11da-bc2e-b8a03c50a862	33.31563	-81.77369									2432006	2432006	PRESERVED_SPECIMEN	OS	Herps	SJA 53955			http://creativecommons.org/publicdomain/zero/1.0/				NATIVE	2015-03-13T22:38Z		COORDINATE_ROUNDED
1058527415	02242d2f-b43f-44d1-8e53-4c51af461f5b	urn:catalog:OS:Herps:SJA 53959	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	Ambystoma opacum		SPECIES	Ambystoma opacum (Gravenhorst, 1807)	US		ac5e8480-3714-11da-bc2e-b8a03c50a862	33.31563	-81.77369									2432006	2432006	PRESERVED_SPECIMEN	OS	Herps	SJA 53959			http://creativecommons.org/publicdomain/zero/1.0/				NATIVE	2015-03-13T22:38Z		COORDINATE_ROUNDED
1051968212	d5fafa95-7de2-48c0-bf10-3480bcca4a2b	CB6FB603-0896-4AE7-888A-101593B03871	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	Ambystoma opacum		SPECIES	Ambystoma opacum (Gravenhorst, 1807)	US	On SR 165, ca. 1.0 mile S junction SR 61, [ca. 6 mi. SE Summerville]	69e7f900-ed5b-11dd-ac7e-b8a03c50a862	32.9368	-80.2158					1969-05-16T00:00Z	16	5	1969	2432006	2432006	PRESERVED_SPECIMEN	NCSM	NCSM-Herp	82078			http://creativecommons.org/publicdomain/zero/1.0/	North Carolina Museum of Natural Sciences				2016-01-14T21:11Z		
1229582119	d5fafa95-7de2-48c0-bf10-3480bcca4a2b	ACFBB7BC-3F1B-414D-8F2F-363599EB846E	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	Ambystoma opacum		SPECIES	Ambystoma opacum (Gravenhorst, 1807)	US	Francis Marion National Forest, McConnell's Boat Landing [Pleasant Hill Landing]	69e7f900-ed5b-11dd-ac7e-b8a03c50a862	33.2452	-79.5209					2002-10-05T00:00Z	5	10	2002	2432006	2432006	PRESERVED_SPECIMEN	NCSM	NCSM-Herp	83043			http://creativecommons.org/publicdomain/zero/1.0/	North Carolina Museum of Natural Sciences				2016-01-14T21:11Z		
1146819383	832b8188-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	Ambystoma opacum		SPECIES	Ambystoma opacum (Gravenhorst, 1807)	US		8483a1f0-1032-11db-ae00-b8a03c50a862	30.548	-84.388							10	1959	2432006	2432006	UNKNOWN	FLMNH	Herp	76754					Looney, James; Lofton, H.			2015-11-04T02:15Z		GEODETIC_DATUM_ASSUMED_WGS84
1146819424	832b8188-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	Ambystoma opacum		SPECIES	Ambystoma opacum (Gravenhorst, 1807)	US		8483a1f0-1032-11db-ae00-b8a03c50a862	30.62127	-84.29384					1968-05-16T00:00Z	16	5	1968	2432006	2432006	UNKNOWN	FLMNH	Herp	76790					Olson, S.			2015-11-04T02:15Z		GEODETIC_DATUM_ASSUMED_WGS84
1146819492	832b8188-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	Ambystoma opacum		SPECIES	Ambystoma opacum (Gravenhorst, 1807)	US		8483a1f0-1032-11db-ae00-b8a03c50a862	30.5854	-84.3592					1970-10-19T00:00Z	19	10	1970	2432006	2432006	UNKNOWN	FLMNH	Herp	76858					Biology Class			2015-11-04T02:15Z		GEODETIC_DATUM_ASSUMED_WGS84
1146819516	832b8188-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	Ambystoma opacum		SPECIES	Ambystoma opacum (Gravenhorst, 1807)	US		8483a1f0-1032-11db-ae00-b8a03c50a862	30.5193	-84.2774					1970-05-24T00:00Z	24	5	1970	2432006	2432006	UNKNOWN	FLMNH	Herp	76846					Berry, James			2015-11-04T02:15Z		GEODETIC_DATUM_ASSUMED_WGS84
1146835026	832b8188-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	Ambystoma opacum		SPECIES	Ambystoma opacum (Gravenhorst, 1807)	US		8483a1f0-1032-11db-ae00-b8a03c50a862	30.9636	-87.23569					1985-04-26T00:00Z	26	4	1985	2432006	2432006	UNKNOWN	FLMNH	Herp	92446					Moler, P.; VanDevender, W.			2015-11-04T02:15Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1146835082	832b8188-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	Ambystoma opacum		SPECIES	Ambystoma opacum (Gravenhorst, 1807)	US		8483a1f0-1032-11db-ae00-b8a03c50a862	30.02737	-83.04532					1977-12-01T00:00Z	1	12	1977	2432006	2432006	UNKNOWN	FLMNH	Herp	92438					Thompson, F.; Campbell, Howard			2015-11-04T02:15Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1146835098	832b8188-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	Ambystoma opacum		SPECIES	Ambystoma opacum (Gravenhorst, 1807)	US		8483a1f0-1032-11db-ae00-b8a03c50a862	30.03731	-83.01984					1973-04-18T00:00Z	18	4	1973	2432006	2432006	UNKNOWN	FLMNH	Herp	92469					Christman, Steven; et al.			2015-11-04T02:15Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1146864175	832b8188-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	Ambystoma opacum		SPECIES	Ambystoma opacum (Gravenhorst, 1807)	US		8483a1f0-1032-11db-ae00-b8a03c50a862	30.669	-84.24885					1976-10-07T00:00Z	7	10	1976	2432006	2432006	UNKNOWN	FLMNH	Herp	158103					Crawford, Robert			2015-11-04T02:15Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1146864222	832b8188-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	Ambystoma opacum		SPECIES	Ambystoma opacum (Gravenhorst, 1807)	US		8483a1f0-1032-11db-ae00-b8a03c50a862	30.669	-84.24885					1976-10-07T00:00Z	7	10	1976	2432006	2432006	UNKNOWN	FLMNH	Herp	158101					Crawford, Robert			2015-11-04T02:15Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
